City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
213,Gamba,GA,2022-04-06 16:27:14,-2.65,10.0,81.3,79,92,9.1
214,Toropets,RU,2022-04-06 16:27:14,56.4978,31.6353,33.28,66,43,7.61
215,Oran,DZ,2022-04-06 16:27:14,35.6911,-0.6417,64.11,52,40,23.02
216,Faya,SA,2022-04-06 16:27:15,18.3851,42.4509,73.92,12,0,9.06
217,Kinshasa,CD,2022-04-06 16:27:15,-4.3246,15.3215,91.78,49,20,3.44
218,Pak Phanang,TH,2022-04-06 16:27:15,8.3511,100.202,79.38,81,100,3.83
219,Porto Seguro,BR,2022-04-06 16:27:15,-16.4497,-39.0647,86.52,62,20,11.5
220,Alice Town,BS,2022-04-06 16:27:16,25.7167,-79.3,79.72,81,57,18.79
221,Panalingaan,PH,2022-04-06 16:27:16,8.7842,117.4231,77.97,82,100,0.25
222,Kaman,IN,2022-04-06 16:27:16,27.65,77.2667,87.44,7,91,4.74
223,Camacha,PT,2022-04-06 16:27:17,33.0833,-16.3333,62.02,59,40,12.66
224,Kidal,ML,2022-04-06 16:28:17,18.4411,1.4078,106.59,3,12,9.53
225,Mehamn,NO,2022-04-06 16:28:18,71.0357,27.8492,33.75,69,40,19.57
226,Lompoc,US,2022-04-06 16:26:21,34.6391,-120.4579,72.84,36,0,8.05
227,Ostrovnoy,RU,2022-04-06 16:28:18,68.0531,39.5131,28.87,93,100,17.49
228,Funtua,NG,2022-04-06 16:28:19,11.5233,7.3081,102.07,6,71,9.93
229,Pacific Grove,US,2022-04-06 16:28:19,36.6177,-121.9166,66.31,70,0,4.61
230,Muzhi,RU,2022-04-06 16:28:19,65.3667,64.6667,17.92,79,100,25.61
231,Lorengau,PG,2022-04-06 16:28:19,-2.0226,147.2712,81.64,82,98,15.73
232,Kaseda,JP,2022-04-06 16:28:20,31.4167,130.3167,57.9,66,100,8.12
233,Aktash,RU,2022-04-06 16:28:20,50.3,87.7333,25.2,72,38,4.54
234,Pevek,RU,2022-04-06 16:28:20,69.7008,170.3133,-22.27,100,100,4.09
235,Conde,BR,2022-04-06 16:23:30,-7.2597,-34.9075,83.66,65,75,11.5
236,Katsuura,JP,2022-04-06 16:28:21,35.1333,140.3,58.42,83,100,10.92
237,Kaka,TM,2022-04-06 16:28:21,37.3482,59.6143,69.96,41,100,2.75
238,Plouzane,FR,2022-04-06 16:28:21,48.3833,-4.6167,53.92,84,100,23.02
239,Mirante Do Paranapanema,BR,2022-04-06 16:28:22,-22.2919,-51.9064,85.98,55,6,6.91
240,Aksaray,TR,2022-04-06 16:28:22,38.3726,34.0254,59.9,46,6,6.51
241,Matara,LK,2022-04-06 16:28:22,5.9485,80.5353,75.76,94,100,8.23
242,Mahebourg,MU,2022-04-06 16:28:23,-20.4081,57.7,79.25,83,40,11.5
243,Morehead,US,2022-04-06 16:28:23,37.2711,-87.1764,51.94,93,100,4.61
244,Toora-Khem,RU,2022-04-06 16:28:23,52.4675,96.11,31.46,98,37,0.94
245,Kuching,MY,2022-04-06 16:28:23,1.55,110.3333,77.22,94,20,2.3
246,Daru,PG,2022-04-06 16:28:24,-9.0763,143.2092,78.67,87,100,7.0
247,Pudem,RU,2022-04-06 16:28:24,58.3044,52.1675,33.78,98,100,12.8
248,Lunca Cernii De Jos,RO,2022-04-06 16:28:25,45.6333,22.6167,55.87,63,11,2.51
249,Dinanagar,IN,2022-04-06 16:28:25,32.15,75.4667,79.52,16,19,4.43
250,Kitob,UZ,2022-04-06 16:28:25,39.0843,66.8332,72.48,29,95,5.23
251,Carmo Do Paranaiba,BR,2022-04-06 16:28:26,-19.0008,-46.3161,82.74,56,38,2.19
252,Nanortalik,GL,2022-04-06 16:28:26,60.1432,-45.2371,33.12,77,18,5.12
253,Nabire,ID,2022-04-06 16:28:27,-3.3667,135.4833,76.24,93,100,4.36
254,Shingu,JP,2022-04-06 16:28:27,33.7333,135.9833,52.14,61,100,4.83
255,Palmer,US,2022-04-06 16:26:55,42.1584,-72.3287,49.64,79,100,5.75
256,Jember,ID,2022-04-06 16:28:28,-8.166,113.7032,73.47,96,95,1.07
257,La Ronge,CA,2022-04-06 16:28:28,55.1001,-105.2842,32.25,64,75,4.61
258,Gasa,PS,2022-04-06 16:28:28,31.5,34.4667,70.88,77,0,9.26
259,Parana,AR,2022-04-06 16:28:28,-31.732,-60.5238,82.56,57,12,6.17
260,Fairbanks,US,2022-04-06 16:26:24,64.8378,-147.7164,19.6,84,75,0.0
261,Lensk,RU,2022-04-06 16:28:29,60.7253,114.9278,7.68,98,100,4.14
262,Narasannapeta,IN,2022-04-06 16:28:29,18.4167,84.05,78.15,85,99,3.33
263,Dwarka,IN,2022-04-06 16:28:30,22.2394,68.9678,80.83,73,97,15.35
264,Tokmak,UA,2022-04-06 16:28:30,47.2514,35.7058,54.9,55,88,13.47
265,Barranca,PE,2022-04-06 16:28:30,-10.75,-77.7667,73.0,73,23,11.59
266,Grua,NO,2022-04-06 16:28:30,60.2667,10.6667,40.48,34,100,2.91
267,Salekhard,RU,2022-04-06 16:23:38,66.53,66.6019,17.26,83,100,15.26
268,Trofors,NO,2022-04-06 16:28:31,65.5333,13.4063,33.67,78,100,2.24
269,Chililabombwe,ZM,2022-04-06 16:28:31,-12.3648,27.8229,68.18,90,92,0.85
270,Ust-Kulom,RU,2022-04-06 16:29:31,61.6864,53.6902,32.11,93,100,8.37
271,Rio Gallegos,AR,2022-04-06 16:29:32,-51.6226,-69.2181,46.45,42,40,18.41
272,Olovyannaya,RU,2022-04-06 16:29:32,50.95,115.5667,26.35,54,34,3.89
273,Quatre Cocos,MU,2022-04-06 16:29:33,-20.2078,57.7625,79.09,71,100,12.44
274,Dafeng,CN,2022-04-06 16:29:33,23.4517,108.5881,69.84,60,37,3.96
275,Maua,BR,2022-04-06 16:29:34,-23.6678,-46.4614,78.6,77,85,7.94
276,Alofi,NU,2022-04-06 16:29:34,-19.0595,-169.9187,67.89,100,80,1.14
277,Nago,JP,2022-04-06 16:25:21,26.5881,127.9761,57.63,66,32,7.0
278,Bafoulabe,ML,2022-04-06 16:29:35,13.8065,-10.8321,108.41,10,37,7.45
279,Clyde River,CA,2022-04-06 16:28:53,70.4692,-68.5914,8.83,72,20,5.75
280,Chibuto,MZ,2022-04-06 16:29:37,-24.6867,33.5306,85.91,51,57,11.14
281,San Quintin,MX,2022-04-06 16:29:37,30.4833,-115.95,66.7,61,0,2.73
282,Tshane,BW,2022-04-06 16:29:37,-24.0196,21.8684,79.05,23,0,7.14
283,Erzin,TR,2022-04-06 16:29:38,36.9559,36.2,64.22,70,41,4.09
284,Nioro,GM,2022-04-06 16:29:38,13.35,-15.75,104.18,11,3,8.86
285,Luganville,VU,2022-04-06 16:29:38,-15.5333,167.1667,79.63,87,100,13.94
286,Ayagoz,KZ,2022-04-06 16:29:39,47.9714,80.4392,56.3,50,100,2.39
287,Laguna,US,2022-04-06 16:29:39,38.421,-121.4238,68.29,37,0,9.22
288,Basco,PH,2022-04-06 16:29:39,20.4487,121.9702,74.21,76,98,21.74
289,Omsukchan,RU,2022-04-06 16:29:40,62.5333,155.8,-10.48,100,100,3.11
290,Huntington Beach,US,2022-04-06 16:29:40,33.6603,-117.9992,75.85,77,0,1.01
291,Chern,RU,2022-04-06 16:29:40,53.4523,36.9145,32.94,99,100,7.87
292,East London,ZA,2022-04-06 16:29:40,-33.0153,27.9116,63.54,67,0,17.27
293,Loiza,PR,2022-04-06 16:29:41,18.4313,-65.8802,84.07,87,75,0.0
294,Kushmurun,KZ,2022-04-06 16:29:41,52.4503,64.6311,30.06,98,41,10.18
